Country,Continent,Total cases,New cases,Total Deaths,New Deaths,Total Recovered,Active cases,Serious/ Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop
Costa Rica,North America,539.00,,3.00,,30.00,506.00,13.00,106.00,0.60,6298.00,1236.00
Afghanistan,Asia,521.00,37.00,15.00,,32.00,474.00,,13.00,0.40,,
Oman,Asia,484.00,27.00,3.00,,109.00,372.00,3.00,95.00,0.60,,
Uruguay,South America,473.00,17.00,7.00,,206.00,260.00,13.00,136.00,2.00,6856.00,1974.00
Ivory Coast,Africa,444.00,,3.00,,52.00,389.00,,17.00,0.10,,
Burkina Faso,Africa,443.00,,24.00,,146.00,273.00,,21.00,1.00,,
Bangladesh,Asia,424.00,94.00,27.00,6.00,33.00,364.00,1.00,3.00,0.20,7359.00,45.00
Albania,Europe,416.00,7.00,23.00,,182.00,211.00,7.00,145.00,8.00,3385.00,1176.00
Niger,Africa,410.00,,11.00,,40.00,359.00,,17.00,0.50,4251.00,176.00
Channel Islands,Europe,398.00,37.00,9.00,1.00,40.00,349.00,,2289.00,52.00,1157.00,6655.00
Honduras,North America,382.00,39.00,23.00,,7.00,352.00,10.00,39.00,2.00,1600.00,162.00
Taiwan,Asia,382.00,2.00,6.00,1.00,91.00,285.00,,16.00,0.30,43886.00,1843.00
Réunion,Africa,382.00,20.00,,,40.00,342.00,3.00,427.00,,,
Ghana,Africa,378.00,,6.00,,4.00,368.00,2.00,12.00,0.20,12046.00,388.00
Jordan,Asia,372.00,,7.00,,170.00,195.00,5.00,36.00,0.70,17000.00,1666.00
Malta,Europe,350.00,13.00,2.00,,16.00,332.00,4.00,793.00,5.00,13732.00,31100.00
San Marino,Europe,344.00,11.00,34.00,,50.00,260.00,14.00,10138.00,1002.00,846.00,24933.00
Mauritius,Africa,318.00,4.00,9.00,2.00,23.00,286.00,3.00,250.00,7.00,6730.00,5292.00
Kyrgyzstan,Asia,298.00,18.00,5.00,1.00,35.00,258.00,5.00,46.00,0.80,9618.00,1474.00
Nigeria,Africa,288.00,,7.00,,51.00,230.00,2.00,1.00,0.03,5000.00,24.00
Bolivia,South America,268.00,4.00,19.00,1.00,2.00,247.00,3.00,23.00,2.00,591.00,51.00
Palestine,Asia,267.00,4.00,2.00,1.00,45.00,220.00,,52.00,0.40,16068.00,3150.00
Senegal,Africa,265.00,15.00,2.00,,137.00,126.00,1.00,16.00,0.10,,
Vietnam,Asia,257.00,2.00,,,144.00,113.00,8.00,3.00,,118807.00,1221.00
Montenegro,Europe,255.00,3.00,2.00,,4.00,249.00,7.00,406.00,3.00,2329.00,3708.00
Georgia,Asia,234.00,16.00,3.00,,54.00,177.00,6.00,59.00,0.80,3271.00,820.00
DRC,Africa,215.00,35.00,20.00,2.00,13.00,182.00,,2.00,0.20,,
Isle of Man,Europe,201.00,11.00,1.00,,103.00,97.00,11.00,2364.00,12.00,1934.00,22744.00
Guinea,Africa,194.00,,,,11.00,183.00,,15.00,,,
Mayotte,Africa,191.00,7.00,2.00,,50.00,139.00,4.00,700.00,7.00,1300.00,4765.00
Sri Lanka,Asia,190.00,,7.00,,54.00,129.00,5.00,9.00,0.30,3248.00,152.00
Kenya,Africa,189.00,5.00,7.00,,22.00,160.00,2.00,4.00,0.10,5278.00,98.00
Faeroe Islands,Europe,184.00,,,,145.00,39.00,,3766.00,,5408.00,110677.00
Venezuela,South America,171.00,,9.00,,84.00,78.00,6.00,6.00,0.30,139282.00,4898.00
Martinique,North America,154.00,,6.00,,50.00,98.00,19.00,410.00,16.00,,
Djibouti,Africa,150.00,10.00,1.00,,36.00,113.00,,152.00,1.00,3740.00,3785.00
Guadeloupe,North America,143.00,,8.00,,67.00,68.00,13.00,357.00,20.00,,
Brunei,Asia,136.00,1.00,1.00,,99.00,36.00,3.00,311.00,2.00,9342.00,21354.00
Paraguay,South America,129.00,5.00,6.00,1.00,18.00,105.00,1.00,18.00,0.80,2262.00,317.00
Gibraltar,Europe,127.00,4.00,,,69.00,58.00,1.00,3770.00,,1543.00,45799.00
Guatemala,North America,126.00,31.00,3.00,,17.00,106.00,3.00,7.00,0.20,1134.00,63.00
Cambodia,Asia,119.00,,,,72.00,47.00,1.00,7.00,,5768.00,345.00
El Salvador,North America,117.00,14.00,6.00,,15.00,96.00,4.00,18.00,0.90,,
Rwanda,Africa,113.00,,,,7.00,106.00,,9.00,,806.00,62.00
Trinidad and Tobago,North America,109.00,,8.00,,1.00,100.00,,78.00,6.00,1045.00,747.00
Madagascar,Africa,93.00,,,,11.00,82.00,1.00,3.00,,,
Monaco,Europe,90.00,6.00,1.00,,5.00,84.00,4.00,2293.00,25.00,,
Mali,Africa,87.00,13.00,7.00,,22.00,58.00,,4.00,0.30,,
Aruba,North America,86.00,4.00,,,27.00,59.00,,805.00,,1058.00,9910.00
French Guiana,South America,83.00,,,,43.00,40.00,1.00,278.00,,,
Liechtenstein,Europe,78.00,,1.00,,55.00,22.00,,2046.00,26.00,900.00,23605.00
Togo,Africa,76.00,3.00,3.00,,25.00,48.00,,9.00,0.40,2069.00,250.00
Barbados,North America,66.00,,4.00,1.00,11.00,51.00,4.00,230.00,14.00,694.00,2415.00
Ethiopia,Africa,65.00,9.00,3.00,1.00,4.00,58.00,1.00,0.60,0.03,3232.00,28.00
Jamaica,North America,63.00,,4.00,,13.00,46.00,,21.00,1.00,907.00,306.00
Congo,Africa,60.00,,5.00,,5.00,50.00,,11.00,0.90,,
Uganda,Africa,53.00,,,,,53.00,,1.00,,3310.00,72.00
French Polynesia,Oceania,51.00,,,,,51.00,,182.00,,744.00,2649.00
Sint Maarten,North America,50.00,7.00,8.00,2.00,3.00,39.00,2.00,1166.00,187.00,134.00,3125.00
Bermuda,North America,48.00,,4.00,,25.00,19.00,2.00,771.00,64.00,354.00,5684.00
Cayman Islands,North America,45.00,,1.00,,6.00,38.00,,685.00,15.00,479.00,7288.00
Macao,Asia,45.00,,,,10.00,35.00,1.00,69.00,,,
Gabon,Africa,44.00,,1.00,,1.00,42.00,,20.00,0.40,,
Bahamas,North America,41.00,,8.00,,5.00,28.00,1.00,104.00,20.00,,
Zambia,Africa,40.00,1.00,2.00,1.00,25.00,13.00,1.00,2.00,0.10,1239.00,67.00
Guyana,South America,37.00,,6.00,,8.00,23.00,4.00,47.00,8.00,145.00,184.00
Liberia,Africa,37.00,6.00,5.00,1.00,3.00,29.00,,7.00,1.00,,
Guinea-Bissau,Africa,36.00,,,,,36.00,,18.00,,1500.00,762.00
Benin,Africa,35.00,9.00,1.00,,5.00,29.00,,3.00,0.08,,
Eritrea,Africa,34.00,1.00,,,,34.00,,10.00,,,
Saint Martin,North America,32.00,,2.00,,11.00,19.00,5.00,828.00,52.00,,
Tanzania,Africa,32.00,7.00,3.00,2.00,5.00,24.00,,0.50,0.05,,
Haiti,North America,30.00,,2.00,,,28.00,,3.00,0.20,257.00,23.00
Myanmar,Asia,27.00,4.00,3.00,,2.00,22.00,,0.50,0.06,1406.00,26.00
Libya,Africa,24.00,,1.00,,8.00,15.00,,3.00,0.10,492.00,72.00
Somalia,Africa,21.00,9.00,1.00,,1.00,19.00,,1.00,0.06,,
Mozambique,Africa,20.00,3.00,,,2.00,18.00,,0.60,,483.00,15.00
Antigua and Barbuda,North America,19.00,,2.00,,,17.00,1.00,194.00,20.00,40.00,408.00
Syria,Asia,19.00,,2.00,,4.00,13.00,,1.00,0.10,,
Maldives,Asia,19.00,,,,13.00,6.00,,35.00,,,
Angola,Africa,19.00,,2.00,,2.00,15.00,,0.60,0.06,,
Equatorial Guinea,Africa,18.00,,,,3.00,15.00,,13.00,,854.00,609.00
New Caledonia,Oceania,18.00,,,,1.00,17.00,,63.00,,2608.00,9135.00
Dominica,North America,16.00,1.00,,,5.00,11.00,,222.00,,309.00,4293.00
Laos,Asia,16.00,,,,,16.00,,2.00,,1035.00,142.00
Mongolia,Asia,16.00,,,,4.00,12.00,,5.00,,,
Namibia,Africa,16.00,,,,3.00,13.00,,6.00,,362.00,142.00
Fiji,Oceania,16.00,1.00,,,,16.00,,18.00,,,
Sudan,Africa,15.00,,2.00,,2.00,11.00,,0.30,0.05,,
Curaçao,North America,14.00,,1.00,,7.00,6.00,,85.00,6.00,,
Saint Lucia,North America,14.00,,,,1.00,13.00,,76.00,,,
Botswana,Africa,13.00,,1.00,,,12.00,,6.00,0.40,1154.00,491.00
Grenada,North America,12.00,,,,,12.00,2.00,107.00,,45.00,400.00
St. Vincent Grenadines,North America,12.00,,,,1.00,11.00,,108.00,,56.00,505.00
Eswatini,Africa,12.00,,,,7.00,5.00,,10.00,,,
Greenland,North America,11.00,,,,11.00,0.00,,194.00,,770.00,13564.00
Saint Kitts and Nevis,North America,11.00,,,,,11.00,,207.00,,197.00,3703.00
Zimbabwe,Africa,11.00,,3.00,,,8.00,,0.70,0.20,438.00,29.00
Chad,Africa,11.00,,,,2.00,9.00,,0.70,,,
Seychelles,Africa,11.00,,,,,11.00,,112.00,,,
Belize,North America,10.00,1.00,1.00,,,9.00,1.00,25.00,3.00,364.00,915.00
Suriname,South America,10.00,,1.00,,4.00,5.00,,17.00,2.00,,
Montserrat,North America,9.00,,,,,9.00,1.00,1803.00,,36.00,7212.00
Nepal,Asia,9.00,,,,1.00,8.00,,0.30,,2895.00,99.00
Malawi,Africa,9.00,1.00,1.00,,,8.00,1.00,0.50,0.05,,
Vatican City,Europe,8.00,,,,2.00,6.00,,9988.00,,,
Turks and Caicos,North America,8.00,,1.00,,,7.00,,207.00,26.00,61.00,1576.00
CAR,Africa,8.00,,,,,8.00,,2.00,,,
Sierra Leone,Africa,8.00,1.00,,,,8.00,,1.00,,,
Nicaragua,North America,7.00,,1.00,,,6.00,,1.00,0.20,,
Cabo Verde,Africa,7.00,,1.00,,1.00,5.00,,13.00,2.00,,
Mauritania,Africa,7.00,,1.00,,2.00,4.00,,2.00,0.20,258.00,55.00
St. Barth,North America,6.00,,,,1.00,5.00,,607.00,,,
Bhutan,Asia,5.00,,,,2.00,3.00,,6.00,,1166.00,1511.00
Falkland Islands,South America,5.00,,,,1.00,4.00,,1437.00,,137.00,39368.00
Gambia,Africa,4.00,,1.00,,2.00,1.00,,2.00,0.40,,
Sao Tome and Principe,Africa,4.00,,,,,4.00,,18.00,,19.00,87.00
South Sudan,Africa,4.00,1.00,,,,4.00,,0.40,,,
Western Sahara,Africa,4.00,,,,,4.00,,7.00,,,
Anguilla,North America,3.00,,,,,3.00,,200.00,,,
British Virgin Islands,North America,3.00,,,,,3.00,,99.00,,,
Burundi,Africa,3.00,,,,,3.00,,0.30,,,
Caribbean Netherlands,North America,2.00,,,,,2.00,,76.00,,10.00,381.00
Timor-Leste,Asia,2.00,1.00,,,1.00,1.00,,2.00,,,
Papua New Guinea,Oceania,2.00,,,,,2.00,,0.20,,72.00,8.00
Saint Pierre Miquelon,North America,1.00,,,,,1.00,,173.00,,,
Yemen,Asia,1.00,1.00,,,,1.00,,0.03,,,
